Timestamp,CPU (%),RAM (%),Disco (%),Upload (KB/s),Download (KB/s)
22:24:04,18.0,71.3,92.7,2.7861328125,1.3349609375
22:24:05,6.1,71.3,92.7,31.0556640625,12.33984375
22:24:06,10.0,71.4,92.7,16.2373046875,13.61328125
22:24:07,8.1,71.4,92.7,14.21875,3.900390625
22:24:08,6.3,71.5,92.7,52.0791015625,7.8486328125
22:24:09,8.1,71.5,92.7,4.7216796875,0.05859375
22:24:10,10.9,71.5,92.7,4.275390625,3.2275390625
22:24:12,14.8,71.4,92.7,27.392578125,2.482421875
22:24:13,14.1,71.4,92.7,4.2392578125,2.6005859375
22:24:14,7.9,71.4,92.7,8.23828125,3.37890625
22:24:15,6.2,71.4,92.7,0.1796875,0.3046875
22:24:16,10.4,71.4,92.7,13.0517578125,2.322265625
22:24:17,8.6,71.4,92.7,0.8212890625,1.119140625
22:24:18,7.2,71.4,92.7,14.7255859375,1.947265625
22:24:19,7.7,71.3,92.7,1.3837890625,1.6494140625
22:24:20,1.7,71.4,92.7,5.2783203125,0.484375
22:24:21,11.2,71.3,92.7,1.4052734375,1.740234375
22:24:22,9.8,71.4,92.7,9.83984375,1.845703125
22:24:23,13.8,71.4,92.7,23.150390625,2.5654296875
22:24:25,6.9,71.4,92.7,6.041015625,2.185546875
22:24:26,5.3,71.4,92.7,0.720703125,1.65234375
22:24:27,13.7,71.4,92.7,5.7197265625,0.583984375
22:24:28,6.8,71.4,92.7,0.5458984375,0.8837890625
22:24:29,8.8,71.4,92.7,12.0810546875,1.5419921875
22:24:30,10.3,71.4,92.7,15.8046875,3.5634765625
22:24:31,4.6,71.4,92.7,4.802734375,0.3818359375
22:24:32,11.5,71.5,92.7,3.6181640625,2.1171875
22:24:33,11.0,71.5,92.7,6.421875,1.0546875
22:24:34,5.4,71.6,92.7,5.5205078125,2.828125
22:24:35,7.3,71.6,92.7,25.9931640625,3.1357421875
22:24:36,2.3,71.6,92.7,4.8642578125,0.29296875
22:24:38,7.5,71.5,92.7,5.1220703125,2.119140625
22:24:39,6.2,71.5,92.7,11.689453125,2.9267578125
22:24:40,25.4,71.8,92.7,5.5283203125,0.4609375
22:24:41,10.4,71.7,92.7,13.5322265625,13.1923828125
22:24:42,3.2,71.7,92.7,7.7099609375,1.5751953125
22:24:43,6.7,71.8,92.7,1.044921875,2.3857421875
22:24:44,10.6,71.8,92.7,21.2080078125,3.90625
22:24:45,16.1,71.7,92.7,8.193359375,13.1201171875
22:24:46,13.1,71.9,92.7,23.4423828125,12.90234375
22:24:47,11.3,72.0,92.7,47.724609375,4.37890625
22:24:48,7.4,72.0,92.7,8.734375,2.220703125
22:24:50,7.8,71.8,92.7,2.2099609375,1.8232421875
22:24:51,8.8,72.0,92.7,21.4365234375,4.1923828125
22:24:52,23.2,72.1,92.7,8.0830078125,1.9794921875
22:24:53,6.4,72.1,92.7,5.357421875,0.58203125
22:24:54,17.3,72.0,92.7,79.4755859375,19.857421875
22:24:55,15.1,72.1,92.7,11.5185546875,4.583984375
22:24:56,14.5,72.1,92.7,43.208984375,5.88671875
22:24:57,22.0,72.1,92.7,16.009765625,3.201171875
22:24:58,3.9,72.1,92.7,1.0166015625,1.4140625
22:24:59,8.9,72.2,92.7,51.076171875,11.4169921875
22:25:00,11.1,72.3,92.7,25.48046875,26.2509765625
22:25:01,11.5,72.1,92.7,5.9658203125,5.7333984375
22:25:03,12.4,72.2,92.7,37.525390625,6.0
22:25:04,6.0,72.3,92.7,4.7412109375,1.1416015625
22:25:05,6.0,72.3,92.7,0.0869140625,0.822265625
22:25:06,10.0,72.2,92.7,39.595703125,2.2041015625
22:25:07,4.5,72.2,92.7,3.7783203125,1.673828125
22:25:08,4.1,72.2,92.7,4.6689453125,0.4267578125
22:25:09,1.8,72.3,92.7,0.556640625,0.54296875
22:25:10,9.2,72.2,92.7,8.1240234375,1.73046875
22:25:11,7.1,72.2,92.7,1.1103515625,2.603515625
22:25:12,6.0,72.2,92.7,5.236328125,1.263671875
22:25:13,7.8,72.2,92.7,0.9677734375,1.2294921875
22:25:14,2.0,72.2,92.7,26.2880859375,1.294921875
22:25:15,4.8,72.2,92.7,0.2392578125,0.8271484375
22:25:17,11.4,72.1,92.7,14.64453125,9.0556640625
22:25:18,6.1,72.2,92.7,1.2080078125,1.26953125
22:25:19,6.1,72.1,92.7,17.25,386.6279296875
22:25:20,3.2,72.1,92.7,1.2109375,0.4248046875
22:25:21,6.8,72.1,92.7,5.9287109375,1.06640625
22:25:22,9.0,72.1,92.7,1.3408203125,1.5341796875
22:25:23,7.8,72.0,92.7,5.822265625,1.005859375
22:25:24,5.5,72.0,92.7,1.798828125,1.736328125
22:25:25,2.5,71.6,92.7,4.7216796875,0.4619140625
22:25:26,10.7,71.6,92.7,1.814453125,1.4736328125
22:25:27,6.8,71.6,92.7,6.029296875,1.2783203125
22:25:28,8.0,71.6,92.7,17.5126953125,2.810546875
22:25:30,5.7,71.6,92.7,13.64453125,3.1337890625
22:25:31,3.4,71.6,92.7,0.5107421875,0.5703125
22:25:32,8.0,71.6,92.7,5.564453125,0.71875
22:25:33,11.3,71.6,92.7,19.48828125,12.630859375
22:25:34,6.5,71.6,92.7,21.5634765625,3.16796875
22:25:35,6.8,71.6,92.7,1.6953125,1.529296875
22:25:36,6.5,71.6,92.7,4.927734375,0.447265625
22:25:37,13.7,71.7,92.7,4.6171875,1.25390625
22:25:38,7.0,71.7,92.7,20.7939453125,64.58203125
22:25:39,7.0,71.7,92.7,2.2900390625,1.513671875
22:25:40,6.2,71.7,92.7,4.7587890625,0.794921875
22:25:41,7.0,71.7,92.7,1.6474609375,5.9609375
22:25:43,18.6,71.7,92.7,5.345703125,0.8955078125
22:25:44,10.5,71.7,92.7,3.900390625,1.87890625
22:25:45,12.4,71.8,92.7,8.9228515625,2.1865234375
